scenario_id,gen_tech,year,overnight_cost_mw
1,Offshore_Wind,2060,1879601
1,Offshore_Wind,2061,1860805
1,Offshore_Wind,2062,1842197
1,Offshore_Wind,2063,1823775
1,Offshore_Wind,2064,1805537
1,Offshore_Wind,2065,1787482
1,Offshore_Wind,2066,1769607
1,Offshore_Wind,2067,1751911
1,Offshore_Wind,2068,1734392
1,Offshore_Wind,2069,1717048
1,Offshore_Wind,2070,1699877
1,Geothermal,2016,5000000
1,Geothermal,2017,5000000
1,Geothermal,2018,5000000
1,Geothermal,2019,5000000
1,Geothermal,2020,5000000
1,Geothermal,2021,5000000
1,Geothermal,2022,5000000
1,Geothermal,2023,5000000
1,Geothermal,2024,5000000
1,Geothermal,2025,5000000
1,Geothermal,2026,5000000
1,Geothermal,2027,5000000
1,Geothermal,2028,5000000
1,Geothermal,2029,5000000
1,Geothermal,2030,5000000
1,Geothermal,2031,5000000
1,Geothermal,2032,5000000
1,Geothermal,2033,5000000
1,Geothermal,2034,5000000
1,Geothermal,2035,5000000
1,Geothermal,2036,5000000
1,Geothermal,2037,5000000
1,Geothermal,2038,5000000
1,Geothermal,2039,5000000
1,Geothermal,2040,5000000
1,Geothermal,2041,5000000
1,Geothermal,2042,5000000
1,Geothermal,2043,5000000
1,Geothermal,2044,5000000
1,Geothermal,2045,5000000
1,Geothermal,2046,5000000
1,Geothermal,2047,5000000
1,Geothermal,2048,5000000
1,Geothermal,2049,5000000
1,Geothermal,2050,5000000
1,Geothermal,2051,5000000
1,Geothermal,2052,5000000
1,Geothermal,2053,5000000
1,Geothermal,2054,5000000
1,Geothermal,2055,5000000
1,Geothermal,2056,5000000
1,Geothermal,2057,5000000
1,Geothermal,2058,5000000
1,Geothermal,2059,5000000
1,Geothermal,2060,5000000
1,Geothermal,2061,5000000
1,Geothermal,2062,5000000
1,Geothermal,2063,5000000
1,Geothermal,2064,5000000
1,Geothermal,2065,5000000
1,Geothermal,2066,5000000
1,Geothermal,2067,5000000
1,Geothermal,2068,5000000
1,Geothermal,2069,5000000
1,Geothermal,2070,5000000
